gene	GSM4237826	GSM4237827	GSM4237828	GSM4237829	GSM4237830	GSM4237831	GSM4237832	GSM4237833	GSM4237834	GSM4237835	GSM4237836	GSM4237837
SERPINA1	8.316	6.704	7.474	7.450	6.397	9.286	8.161	6.462	7.292	8.029	8.175	6.743
SERPINB5	4.465	3.876	3.312	3.237	4.397	4.242	1.390	3.058	2.869	2.911	2.050	2.962
SERPINH1	9.100	8.154	8.285	8.639	8.474	7.914	8.839	8.450	7.676	9.293	8.407	7.877
SFRP1	6.943	5.198	5.348	7.270	6.719	6.942	6.816	6.560	4.658	6.174	4.428	6.388
SFRP4	10.850	7.598	7.583	6.585	9.750	11.192	9.688	6.643	7.204	8.089	8.650	7.302
SFXN1	9.212	9.734	9.782	8.336	9.511	8.546	9.532	9.768	9.408	9.813	9.458	9.958
SGK1	12.367	11.002	10.649	11.631	11.646	13.423	12.299	10.489	10.962	11.131	11.108	11.155
SH2D1A	5.412	3.724	4.798	4.026	4.567	8.893	4.560	3.721	3.933	4.091	3.187	4.235
SHC2	9.448	10.172	9.684	9.033	9.104	8.087	9.342	9.727	9.713	9.445	9.281	10.024
SIGLEC1	8.287	7.754	7.903	6.436	5.567	11.538	7.865	5.882	6.941	5.648	7.893	6.331
SIGLEC5	7.316	5.554	5.823	5.660	6.255	7.970	6.184	3.721	5.559	5.026	4.772	4.464
SIGLEC8	6.412	6.335	6.956	4.170	6.097	7.100	6.062	6.673	5.268	5.899	4.937	5.662
SIRPA	9.789	10.030	10.449	8.614	10.243	9.730	10.177	10.369	9.588	10.231	8.895	10.933
SIRPB2	6.886	6.335	6.772	6.237	5.921	8.196	6.235	5.254	6.096	6.785	6.313	5.606
SLAMF7	4.564	4.139	4.990	3.778	4.856	7.329	4.782	2.932	2.995	1.589	4.372	3.547
SLC11A1	10.065	9.191	9.365	7.654	8.084	9.376	8.749	7.421	8.539	9.208	8.103	7.648
SLC16A1	10.755	10.830	10.817	10.604	10.614	9.823	10.161	10.247	10.256	11.274	10.616	10.356
SLC1A5	8.109	8.205	8.579	9.999	7.526	9.030	8.335	8.568	8.508	7.728	8.551	8.299
SLC2A1	7.412	8.169	7.553	7.204	7.982	7.075	6.756	6.484	7.151	7.535	6.750	7.314
SLC7A5	9.445	9.491	8.965	10.939	9.304	8.804	9.344	9.629	9.587	9.786	9.529	9.081
SMAD5	8.924	9.226	9.222	9.206	9.889	8.196	9.304	9.799	9.674	9.509	9.612	9.403
SMAP1	9.323	9.953	9.703	9.796	9.678	9.392	9.780	9.757	10.077	10.157	10.095	9.406
SNAI1	7.117	7.830	6.798	7.436	8.255	7.527	5.539	5.581	6.329	5.811	5.878	5.527
SNCA	9.745	9.285	9.018	7.100	9.552	10.118	9.944	9.488	8.949	10.780	9.750	10.800
SOCS1	7.787	5.802	6.956	5.778	4.856	7.451	7.418	5.495	7.178	4.958	6.815	7.517
SOX10	10.541	9.295	10.004	9.536	9.204	10.158	9.966	11.054	6.793	10.406	8.125	9.478
SOX11	7.242	9.914	8.749	8.803	8.587	6.796	8.135	8.808	8.752	7.718	10.507	9.033
SOX2	11.468	12.353	12.128	12.866	13.059	12.381	12.196	12.050	12.653	11.538	12.958	12.348
SPIB	5.564	4.361	3.312	4.533	4.856	6.701	4.477	3.058	2.869	3.252	4.050	4.132
SPP1	16.468	15.681	15.510	12.940	14.867	15.449	14.393	14.355	14.036	14.573	15.397	14.522
SPRY4	9.200	9.711	10.023	7.378	10.692	9.485	9.845	7.035	10.834	8.545	7.094	9.963
SREBF1	11.818	12.572	12.431	10.737	10.873	11.598	10.728	10.602	10.991	10.596	11.621	11.714
