gene	GSM4237826	GSM4237827	GSM4237828	GSM4237829	GSM4237830	GSM4237831	GSM4237832	GSM4237833	GSM4237834	GSM4237835	GSM4237836	GSM4237837
BNIP3L	10.692	11.279	11.007	10.409	10.354	9.381	10.641	10.821	9.583	11.073	10.130	11.596
BRCA1	7.465	7.598	7.545	7.262	8.316	6.242	7.698	7.790	9.647	7.184	8.558	7.296
BRCA2	6.924	6.858	7.425	7.629	6.889	7.827	7.684	6.484	5.980	6.765	8.466	6.820
BRD3	9.626	9.878	9.760	10.099	10.460	9.857	9.768	10.129	10.144	9.732	10.020	9.628
BRD4	10.028	10.973	10.618	9.906	10.135	10.013	10.490	9.865	10.867	10.330	10.009	10.382
BRIP1	5.242	6.598	6.836	6.546	5.921	5.997	6.929	6.758	5.869	6.619	7.717	6.845
BTLA	3.242	2.139	3.575	3.100	2.982	5.049	2.560	1.795	2.995	2.589	2.535	2.547
C1QA	12.132	11.099	11.278	10.680	9.811	13.303	11.674	11.041	10.593	11.231	11.315	10.562
C1QB	12.099	11.190	10.720	10.773	9.959	13.308	11.928	11.289	10.676	11.252	11.284	10.434
C2	9.611	8.342	7.962	9.104	5.856	10.283	7.956	6.495	6.957	6.923	7.837	5.869
C5	7.886	8.124	7.791	6.559	8.386	8.075	8.138	7.560	7.995	7.228	7.947	7.314
C5AR1	8.173	7.361	7.210	6.938	6.982	9.213	7.254	5.581	6.410	6.504	6.586	6.606
C7	7.857	6.169	6.078	6.204	5.204	10.487	6.034	5.949	4.054	6.471	3.313	7.939
CASP1	8.970	7.520	8.294	7.958	7.664	10.305	9.329	7.941	9.410	8.001	8.158	8.732
CASP3	9.045	9.169	9.410	8.783	9.357	8.634	9.286	9.562	9.269	9.784	9.609	9.542
CASP8	6.465	6.226	6.590	6.301	6.606	7.685	6.765	6.228	6.305	6.422	6.283	5.527
CASP9	8.509	8.668	8.290	9.166	8.430	8.781	8.187	8.854	8.211	8.558	7.542	7.861
CBLC	3.657	2.554	3.160	2.948	3.982	4.049	1.712	2.795	2.869	2.811	2.313	2.184
CCL13	5.181	3.554	3.160	3.237	3.982	5.634	3.197	2.280	1.995	2.004	2.898	4.021
CCL14	3.979	3.554	4.160	2.948	5.097	5.490	3.712	5.795	4.539	3.862	3.535	4.735
CCL18	7.439	6.802	6.772	4.987	6.526	10.744	3.913	4.427	4.995	4.289	7.372	4.586
CCL19	4.827	3.876	4.078	4.533	5.097	9.017	4.145	3.280	3.317	2.174	3.815	3.464
CCL2	13.679	11.507	12.295	10.608	9.077	12.828	11.756	10.459	9.602	10.104	11.063	11.809
CCL20	6.358	5.508	5.078	4.907	5.484	5.149	6.712	3.560	6.877	5.496	4.586	6.284
CCL21	4.979	4.361	3.897	3.685	4.567	6.634	3.477	1.795	2.869	3.326	3.187	3.901
CCL22	5.242	4.139	4.383	5.026	5.484	6.329	4.434	4.173	3.802	3.396	3.050	4.021
CCL3/L1	12.976	11.631	9.623	12.534	10.122	12.864	13.614	10.077	11.107	11.238	9.915	12.305
CCL4	12.151	10.558	9.016	11.783	9.952	11.922	13.135	8.874	10.460	10.424	8.708	11.827
CCL5	9.133	7.412	8.051	7.708	6.041	12.240	8.448	7.058	6.410	6.430	6.928	6.939
CCL7	6.465	4.876	5.238	4.301	4.719	6.734	3.197	2.932	2.410	3.589	3.313	4.235
CCL8	8.663	6.763	6.605	8.257	5.397	10.394	9.259	4.830	5.600	5.154	5.428	7.690
CCNA1	6.540	7.154	6.035	4.585	5.719	6.634	5.882	4.965	5.676	6.326	5.372	6.586
CCNB1	6.766	8.329	8.400	8.968	8.452	6.527	8.659	9.306	7.898	7.722	10.779	8.006
CCND1	9.954	9.612	9.972	9.620	8.041	9.765	9.709	10.019	9.765	11.101	8.309	9.620
CCND2	10.967	12.912	12.238	11.485	12.195	10.513	12.091	11.202	12.082	10.953	11.220	13.280
CCND3	8.617	8.560	8.195	8.999	9.236	9.586	8.069	7.768	9.214	8.877	8.346	7.916
CCNE1	6.787	7.399	7.634	7.044	7.374	7.651	7.197	6.012	7.789	7.070	8.665	7.091
CCNO	5.412	5.254	4.990	2.948	5.204	5.827	3.913	4.058	4.619	6.648	4.535	5.527
CCR2	6.050	5.078	5.575	4.685	6.304	7.546	4.747	3.380	4.165	4.213	4.728	4.235
CCR4	5.117	4.254	4.575	3.685	5.304	6.970	3.560	3.473	3.317	3.759	3.635	4.284
CCR5	6.943	5.309	6.514	4.778	4.856	7.900	6.721	5.865	4.869	6.048	5.013	6.158
CD14	12.138	10.649	10.876	11.149	9.719	12.767	11.624	10.429	9.912	10.835	11.052	10.414
CD163	11.489	11.520	11.498	8.830	9.621	12.205	9.431	8.685	10.534	11.933	9.815	9.996
CD19	5.943	4.554	4.450	5.204	5.567	6.599	4.344	3.380	4.054	2.911	3.815	4.132
CD1C	2.657	2.876	3.160	3.363	3.982	5.701	3.090	3.721	1.995	2.463	3.815	3.464
CD2	6.588	5.724	5.798	5.732	4.982	8.253	5.913	5.201	5.024	5.512	5.283	5.644
CD209	6.015	4.013	4.897	3.778	5.304	7.219	4.344	4.899	2.410	3.463	4.728	4.803
CD244	5.117	5.013	4.990	3.478	3.982	7.100	4.519	3.280	4.454	4.811	4.483	4.132
CD247	4.657	3.724	4.312	3.865	2.982	7.075	4.390	2.932	4.110	3.862	4.187	4.284
CD27	5.905	4.946	5.417	4.301	5.304	9.381	5.477	3.997	4.836	3.958	5.456	4.735
CD274	7.316	6.641	7.200	5.886	5.645	8.087	6.967	5.201	7.917	5.633	5.535	5.977
CD276	11.099	11.073	11.911	10.869	10.554	10.845	10.580	10.366	10.540	11.325	11.099	10.380
CD28	5.515	5.598	4.945	4.170	4.397	7.599	5.272	3.932	2.580	3.704	7.617	5.331
CD300A	8.776	8.768	8.729	7.293	7.097	8.827	8.589	8.124	6.713	7.990	7.999	8.105
CD36	7.439	7.997	7.130	7.325	6.952	8.286	5.412	5.581	5.243	5.112	9.735	5.962
CD38	8.378	8.773	8.224	5.800	7.178	9.356	8.194	8.211	7.002	7.488	7.772	8.098
CD3D	6.439	5.013	6.035	4.732	2.397	9.504	5.619	4.380	3.497	4.463	5.154	5.077
CD3E	5.905	4.139	5.238	4.026	4.397	8.758	5.223	3.721	3.869	3.811	4.728	4.869
CD3G	5.943	4.013	4.312	3.478	6.041	7.827	4.816	3.173	3.658	3.091	3.976	4.377
CD4	8.125	6.802	7.013	7.293	6.255	9.264	7.948	7.088	6.443	6.619	7.617	6.537
CD40	8.196	6.963	7.545	6.876	5.982	8.804	8.275	7.501	7.075	6.911	7.815	6.969
CD40LG	5.412	4.139	4.897	4.732	5.304	6.796	4.248	3.058	3.317	3.252	3.635	3.699
CD44	13.080	13.346	12.623	12.693	11.231	12.647	11.928	11.501	11.362	11.594	11.913	11.826
CD45RA	4.358	3.724	4.160	4.026	3.982	5.997	4.145	2.473	3.869	3.004	3.635	3.699
CD45RB	6.905	6.361	7.088	6.789	5.719	8.921	7.062	6.254	6.305	6.993	6.815	5.331
CD45RO	9.287	7.972	8.339	7.407	7.328	10.348	9.316	8.284	7.819	8.176	8.368	8.232
CD47	11.563	10.700	11.014	11.362	11.032	11.779	11.141	11.462	10.583	11.495	10.687	11.310
CD48	6.961	6.361	6.498	6.464	4.719	10.340	7.628	5.965	5.785	5.496	7.137	5.284
CD5	5.564	3.554	4.514	4.100	3.719	7.634	5.171	3.997	3.410	4.759	4.772	4.235
CD58	8.015	7.282	7.400	7.035	8.055	8.726	7.138	5.848	7.508	7.004	7.647	6.869
CD6	5.787	4.724	5.482	3.685	4.567	7.842	5.062	2.643	3.317	3.396	4.682	3.769
CD68	11.590	10.914	10.451	10.123	9.885	13.143	10.650	10.185	9.640	10.559	10.992	9.547
CD69	9.032	5.641	6.348	7.720	6.789	9.550	8.915	5.795	7.381	7.896	6.328	7.567
CD7	4.745	3.876	4.848	4.636	5.204	7.173	4.816	3.173	5.713	4.213	4.120	3.836
CD70	5.702	5.598	5.078	4.100	5.097	6.734	3.638	1.795	-0.590	3.704	4.050	3.377
CD74	15.074	13.967	14.581	14.585	13.138	16.717	15.006	13.728	14.164	14.476	14.629	13.958
CD79A	4.564	4.802	4.160	5.026	4.719	8.161	4.599	3.380	4.054	3.958	4.976	4.699
CD79B	4.564	4.013	4.160	3.778	4.719	6.049	3.975	3.280	3.580	3.174	3.635	3.625
CD80	7.399	5.361	5.873	5.026	4.856	8.441	6.929	5.173	4.836	4.704	6.103	6.063
CD84	9.512	9.295	9.575	8.492	8.654	11.372	9.069	9.165	8.547	8.866	9.767	8.467
CD86	7.600	6.335	6.745	7.063	6.204	8.350	7.921	7.043	6.713	7.081	6.598	6.726
CD8A	7.564	5.980	6.745	5.422	5.397	10.552	6.638	5.254	5.191	5.174	5.659	5.644
CD8B	6.330	4.461	4.575	3.865	5.397	8.137	5.171	3.997	2.995	2.911	3.815	4.506
CD96	5.242	5.078	5.160	4.026	4.982	7.617	5.062	4.560	3.410	4.326	3.635	3.901
CDC20	5.515	6.912	7.057	7.340	7.069	5.412	7.083	7.687	4.964	5.886	8.767	6.634
CDC25C	4.465	4.876	5.417	4.948	5.484	4.049	5.580	5.795	4.767	4.289	6.357	4.769
CDH1	6.961	6.704	6.979	4.585	5.397	6.634	6.248	5.916	5.732	4.361	5.682	7.014
CDH11	11.257	10.616	10.607	11.728	10.770	11.174	11.222	11.412	10.813	9.965	9.609	10.718
CDH2	11.604	11.534	11.557	11.147	12.415	11.631	12.147	11.036	11.428	11.706	12.454	11.854
CDH5	8.734	7.322	8.421	7.611	8.997	8.173	8.015	7.473	7.941	7.361	6.611	7.803
CDK2	8.943	9.201	9.368	10.560	9.889	9.564	9.458	9.102	9.461	9.002	10.841	9.006
CDK6	8.891	9.223	10.106	8.975	10.340	8.765	10.465	8.765	9.450	10.254	8.601	9.836
CDKN1A	12.033	9.982	10.944	10.327	10.946	11.621	11.124	9.927	9.744	10.242	12.344	9.861
CDKN1C	9.804	9.631	9.480	8.795	9.280	9.586	9.759	10.613	7.549	8.678	8.146	9.680
CDKN2A	7.117	6.078	5.238	6.378	7.547	8.242	6.285	6.924	4.732	4.732	9.594	5.184
CDKN2B	6.540	7.399	6.979	5.063	4.982	7.100	5.975	7.697	4.410	7.993	7.516	5.901
CEACAM3	4.657	4.254	4.897	3.685	5.304	6.242	3.477	3.380	3.580	3.811	2.313	3.547
CEBPB	11.146	11.256	10.317	11.108	10.498	11.854	11.252	10.153	11.422	10.393	10.032	10.243
CENPF	5.412	8.191	8.352	9.676	8.041	6.490	8.577	8.459	6.151	7.312	11.399	7.296
CEP55	6.149	6.282	6.383	7.340	7.152	7.100	7.012	7.180	5.217	5.849	9.279	5.443
CES3	6.084	6.309	5.873	5.478	5.204	5.942	5.619	4.560	5.024	4.935	7.490	5.506
CHUK	9.674	9.093	9.160	9.982	9.928	10.617	9.004	9.251	9.715	9.118	10.192	8.302
CLEC14A	8.425	7.322	7.150	7.464	7.606	7.286	7.812	7.380	7.549	7.317	6.400	7.653
CLEC4E	5.564	4.013	4.450	4.170	5.397	6.564	3.390	3.173	3.732	3.648	2.313	3.547
CLEC5A	7.943	7.920	7.545	5.800	7.772	6.242	7.111	5.088	7.476	7.375	7.004	7.235
CLEC7A	8.617	8.491	8.553	7.870	6.921	9.475	8.171	7.124	7.151	8.346	7.305	8.791
CLECL1	5.515	5.641	7.257	6.317	6.526	8.451	6.905	5.450	6.096	6.886	6.013	6.197
CMKLR1	9.096	8.467	8.450	8.457	6.755	10.968	9.438	8.442	7.634	8.797	8.357	8.084
CNTFR	8.058	8.183	7.180	4.778	7.152	7.329	6.929	7.131	6.340	7.622	8.940	7.988
COL11A1	7.399	6.013	6.545	8.489	5.397	6.886	5.412	6.173	4.110	7.184	6.573	5.901
COL11A2	6.723	6.946	6.400	5.685	7.041	7.173	6.550	6.495	5.639	5.344	5.372	5.803
COL17A1	4.465	3.554	3.160	3.237	2.397	4.412	2.560	2.280	3.802	3.091	3.535	3.699
COL4A5	10.626	9.511	10.062	9.021	8.997	9.838	10.370	10.339	6.039	7.896	8.404	8.971
COL5A1	9.525	8.368	9.361	6.100	6.645	8.676	8.509	7.993	6.819	8.280	6.252	8.275
COL6A3	9.660	7.309	8.214	7.016	5.645	10.017	6.638	5.173	5.191	7.865	6.947	7.349
COMP	4.358	3.361	3.575	2.585	4.567	4.701	3.560	3.280	3.410	2.174	4.050	4.021
CPA3	4.827	1.554	4.383	2.778	3.719	5.242	2.390	2.280	2.580	3.527	5.343	3.464
CRABP2	7.257	6.802	7.590	7.378	6.856	7.750	6.467	7.484	5.980	7.204	7.298	6.443
CSF1	10.372	9.741	9.438	9.469	9.363	10.773	9.608	9.104	9.598	8.574	9.722	9.112
CSF1R	11.569	9.858	11.036	10.996	9.909	10.944	11.967	11.165	10.598	11.663	10.558	11.060
CSF2	3.979	3.361	2.990	3.948	2.982	5.490	3.197	2.058	1.732	2.911	2.050	3.284
CSF2RB	6.787	5.139	5.605	5.886	5.204	8.329	5.944	4.795	5.217	5.048	5.456	4.901
CSF3	3.465	2.139	2.798	2.948	1.397	4.412	0.390	2.473	0.995	1.326	1.728	0.962
CSF3R	8.330	8.046	8.684	8.091	7.328	10.286	8.263	7.356	8.168	7.987	7.343	6.999
CST2	3.242	2.876	3.897	2.363	1.397	3.564	3.297	3.473	3.732	2.589	3.050	3.077
CTAG1B	2.979	1.554	-0.010	9.595	2.397	2.827	2.197	0.473	1.732	7.732	2.313	0.962
CTLA4	5.827	3.361	4.383	4.636	5.397	7.997	4.882	2.473	4.054	4.133	4.372	4.377
CTNNB1	12.776	12.297	12.387	12.106	12.594	13.171	12.306	12.670	12.760	12.646	12.964	12.347
CTSS	11.156	10.852	10.767	9.994	9.474	13.035	11.440	10.911	9.891	10.678	11.261	10.368
CTSW	5.412	3.361	4.691	4.732	4.397	8.049	4.782	3.795	3.317	3.589	4.586	4.235
CX3CL1	10.674	10.024	10.348	11.263	10.172	10.532	10.098	10.137	10.530	10.333	10.091	10.090
CX3CR1	11.134	7.744	10.021	10.708	9.893	10.392	10.645	9.628	9.891	9.632	9.328	9.147
CXCL1	8.432	6.309	5.383	4.907	6.351	7.956	6.090	4.602	6.732	5.837	4.313	6.861
CXCL10	9.062	6.531	9.462	6.478	5.645	11.610	11.152	8.916	9.916	7.317	7.313	7.752
CXCL11	6.465	4.139	7.200	2.585	4.567	7.432	6.782	7.697	7.404	4.048	4.586	4.769
CXCL12	8.872	7.858	7.458	9.422	6.041	11.005	7.633	6.612	5.497	7.357	5.561	6.954
CXCL13	3.465	0.554	3.160	3.865	1.397	5.701	3.477	2.643	1.995	3.091	3.535	2.547
CXCL14	11.592	10.499	11.392	5.392	9.055	11.065	11.083	7.628	12.104	11.695	11.658	10.852
CXCL16	8.496	8.355	8.798	8.478	8.084	9.823	9.116	8.349	8.767	8.455	8.411	8.175
CXCL2	9.768	8.912	8.109	8.054	8.152	9.812	8.869	7.936	8.559	7.455	7.739	9.324
CXCL3	7.847	7.198	6.057	4.822	6.484	6.599	6.913	4.427	5.243	4.732	4.976	6.699
CXCL5	6.490	4.724	5.482	5.948	5.397	6.049	6.320	5.404	2.732	4.759	3.635	4.735
CXCL6	7.490	4.946	5.238	3.685	4.204	6.942	3.560	3.721	2.580	5.091	2.313	5.354
CXCL8	11.592	9.898	9.224	9.720	9.391	10.473	9.613	4.280	8.582	8.577	7.163	9.670
CXCL9	7.680	5.461	6.575	6.170	5.304	10.499	8.467	6.730	6.723	5.604	6.171	4.992
CXCR2	6.301	5.078	5.348	5.301	5.921	7.308	5.456	5.201	4.902	6.059	4.772	5.331
CXCR3	4.358	3.876	4.160	3.948	4.204	6.634	3.477	3.173	3.110	3.252	2.898	3.625
CXCR4	10.169	10.437	9.634	8.623	9.316	11.228	10.142	7.740	8.859	9.707	9.944	9.731
CXCR6	5.979	4.554	4.945	4.100	4.856	8.023	5.519	3.560	5.024	4.648	4.635	4.932
CXorf36	9.015	7.124	7.996	8.237	8.191	8.124	8.514	7.993	8.079	7.459	7.013	7.438
CYBB	12.049	10.282	11.365	11.286	10.474	13.356	12.085	11.106	10.936	10.905	11.804	10.384
DAB2	9.506	9.390	8.950	9.372	7.374	10.561	8.863	8.690	7.481	9.023	8.903	8.091
DDB2	10.335	9.585	10.251	8.253	10.832	11.533	9.598	9.031	10.307	8.852	10.991	8.238
DEFB134	5.657	3.361	4.798	4.685	5.484	5.942	3.477	3.058	3.217	3.811	3.187	4.377
DEPTOR	8.308	7.663	7.811	8.543	7.823	8.112	8.562	9.131	7.544	8.415	7.659	8.672
DKK1	4.745	3.876	4.450	2.100	1.397	6.196	3.090	2.473	2.580	3.527	3.050	3.699
DLL1	8.024	8.261	8.506	9.531	7.419	8.319	8.285	10.507	9.202	7.558	7.700	9.300
DLL4	7.552	6.412	6.848	6.948	6.921	7.075	6.297	5.758	5.964	6.289	5.586	6.035
DNMT1	9.660	10.282	10.050	10.037	10.557	10.434	10.329	9.939	10.333	9.338	10.720	9.860
DPP4	7.540	6.437	8.057	4.685	9.034	7.392	6.197	4.331	7.929	5.396	5.728	5.625
DTX3L	9.768	9.449	9.956	10.139	9.084	11.233	10.804	9.698	10.587	9.300	9.760	9.723
DTX4	8.041	8.282	7.823	5.755	6.397	8.432	7.090	8.267	7.460	6.405	7.077	7.360
DUSP1	12.851	11.221	9.708	11.716	11.177	12.310	12.730	10.802	11.457	12.178	9.516	12.648
DUSP2	7.465	5.198	5.160	6.533	5.982	8.626	7.378	4.280	5.933	5.194	4.252	6.962
DUSP5	10.006	9.756	9.841	9.669	9.298	10.623	8.929	7.173	9.825	9.339	9.415	10.144
E2F3	8.157	8.636	8.752	8.529	7.905	8.253	8.716	9.077	8.367	8.769	9.220	8.639
EDN1	8.372	7.989	8.013	6.063	8.537	7.827	7.971	6.318	7.713	7.086	5.120	7.795
EGF	5.702	7.154	6.861	9.042	6.097	6.451	6.791	6.702	7.352	6.361	7.041	7.932
EGFR	12.558	12.919	13.603	9.801	15.575	9.161	15.534	9.673	16.383	7.615	8.386	14.325
EGR1	12.346	11.951	11.844	12.488	11.992	11.513	12.790	11.698	13.168	12.920	10.605	13.450
EIF2AK2	9.900	9.688	10.343	10.052	9.572	10.880	10.944	10.301	10.683	10.169	10.236	10.410
EIF2B4	8.588	8.876	8.725	8.617	8.755	8.685	8.418	8.675	8.877	8.570	8.545	8.354
EIF4EBP1	9.227	10.786	10.039	9.511	9.132	8.773	9.178	8.934	9.297	9.780	10.226	9.219
EIF5AL1	6.181	4.254	3.897	4.170	5.204	6.796	3.913	2.473	2.580	2.589	3.535	4.077
ELOB	7.691	8.161	8.229	8.436	8.806	7.173	7.878	8.517	9.070	7.680	7.868	8.366
ENO1	13.555	14.056	13.904	13.467	13.565	12.822	13.108	12.931	13.314	13.537	13.337	13.600
ENTPD1	9.570	8.754	9.522	8.174	8.280	9.651	9.653	9.436	9.413	9.309	9.041	9.244
EOMES	4.117	0.554	3.450	2.585	4.397	4.564	3.560	2.643	2.869	3.004	4.050	3.184
EPCAM	5.745	4.946	5.745	4.301	4.982	5.329	4.560	4.427	3.580	4.527	4.635	3.962
EPM2AIP1	10.052	10.468	10.318	10.504	10.411	9.718	9.804	10.469	9.883	10.348	10.075	10.539
ERBB2	9.161	9.473	8.739	7.726	9.104	9.124	8.004	8.047	10.171	7.725	7.942	9.060
ERO1A	9.739	10.686	9.973	8.870	8.526	8.509	9.411	9.154	8.662	9.923	9.020	9.952
ESR1	6.050	3.876	4.450	5.100	5.204	7.308	5.171	4.117	4.217	4.558	6.298	4.662
EXO1	5.745	5.839	6.560	7.912	6.921	5.942	6.434	6.758	4.497	5.447	9.063	5.735
EZH2	7.600	8.282	9.075	8.676	8.516	7.634	9.131	8.615	8.626	7.755	10.226	8.750
F2RL1	6.657	6.335	6.219	5.270	5.921	6.634	6.693	5.997	4.802	6.379	6.313	6.625
FADD	7.847	8.657	8.429	8.104	8.191	8.422	8.567	8.047	7.983	8.179	8.224	7.681
FAM124B	6.924	5.309	5.634	6.135	6.397	7.371	6.248	5.331	5.902	6.626	6.357	5.421
FAM30A	5.867	4.139	5.035	4.585	5.856	7.471	3.712	2.932	2.995	1.811	3.313	3.962
FANCA	6.358	7.565	7.698	7.800	7.936	6.765	7.628	6.711	7.165	6.527	8.764	7.184
FAP	7.165	6.109	7.759	5.865	6.921	6.599	5.477	5.028	5.949	6.558	5.086	7.410
FAS	7.646	7.361	6.772	6.623	6.351	7.942	5.799	5.560	6.010	6.471	6.442	6.296
FASLG	4.117	3.139	3.798	3.237	1.397	7.124	3.913	3.473	0.410	1.326	2.728	2.836
FBP1	7.766	8.005	7.765	6.204	7.664	9.219	7.326	6.997	6.580	7.118	7.756	6.606
FCAR	7.970	5.508	5.718	7.579	5.856	8.900	7.820	4.280	5.191	6.326	4.372	6.606
FCGR1A	9.779	8.473	9.645	8.040	7.936	10.173	9.300	9.170	8.138	8.572	9.079	8.081
FCGR2A	11.217	10.369	10.670	9.954	8.889	12.151	10.830	9.991	9.682	10.359	10.259	10.361
FCGR2B	9.257	9.918	8.545	4.907	6.526	9.997	8.496	7.080	5.933	7.451	8.653	7.360
FCGR3A/B	11.524	10.476	10.953	9.829	8.645	11.929	10.918	10.714	9.506	10.378	10.473	9.982
FCGRT	11.029	11.128	10.669	11.009	11.128	12.241	10.970	10.522	10.414	10.201	10.384	10.131
FCN1	6.412	5.078	5.718	6.063	5.789	9.017	5.090	3.721	3.869	4.174	4.635	5.235
FCRL2	5.358	3.876	3.691	3.585	4.204	6.286	3.197	2.058	2.410	2.174	3.428	4.021
FGF13	6.611	3.876	6.417	5.987	5.856	5.827	6.849	2.795	4.580	7.562	5.857	8.549
FGF18	4.242	4.876	4.745	3.237	4.719	5.886	4.560	4.058	4.217	4.048	4.898	4.803
FGF9	6.015	4.724	4.990	4.778	6.152	6.049	4.297	3.173	4.165	6.233	6.252	5.377
FGFR1	9.041	10.669	10.353	7.591	9.091	9.190	9.546	8.353	9.617	9.393	8.952	9.388
FLNB	10.123	9.701	9.504	9.984	10.030	10.023	9.506	10.702	9.785	9.181	9.220	8.462
FLT1	9.603	8.381	9.729	7.891	8.055	7.329	9.594	8.817	8.035	8.752	7.236	9.607
FOSL1	8.528	8.560	8.645	6.450	7.806	8.617	7.456	6.813	7.317	7.335	8.439	7.730
FOXP3	5.412	3.724	4.383	4.100	4.982	6.668	4.519	3.560	4.217	4.004	4.635	3.547
FPR1	10.714	8.759	9.506	9.452	8.664	11.196	10.215	8.128	9.739	9.549	8.775	9.218
FPR3	9.242	8.514	8.109	8.278	7.255	11.407	9.136	8.117	6.933	7.396	8.791	7.606
FSTL3	7.952	8.554	8.057	5.363	6.645	8.137	6.248	7.581	6.570	8.194	5.815	6.717
FUT4	7.776	7.497	7.248	7.506	7.463	8.997	7.440	6.484	7.497	7.361	7.386	6.432
FYN	11.089	12.285	11.903	11.081	11.907	11.385	11.418	11.903	11.786	11.650	10.861	11.218
FZD8	6.490	6.763	7.024	4.301	7.230	6.765	6.248	5.173	3.995	5.527	7.400	6.184
FZD9	5.979	5.254	5.575	5.170	5.567	6.286	4.477	5.117	6.476	4.174	5.878	4.699
GAS1	6.515	9.361	8.046	7.278	10.925	6.970	7.145	7.248	8.947	6.683	8.731	9.197
GBP1	8.979	8.191	9.205	8.436	8.292	9.422	10.842	9.520	10.559	8.196	7.990	9.559
GBP2	10.512	10.307	10.370	10.188	9.526	10.699	11.143	9.905	10.143	9.952	9.542	9.028
GBP4	8.365	7.198	7.605	7.828	7.936	9.857	9.855	8.663	9.427	7.097	6.928	6.634
GHR	6.723	5.683	5.718	6.897	5.484	6.564	4.913	6.439	4.869	6.194	6.154	5.885
GIMAP4	9.731	8.792	9.435	9.102	8.267	11.433	9.944	9.383	9.070	9.435	8.947	8.721
GIMAP6	7.847	6.198	6.180	7.153	6.441	9.100	7.390	7.095	7.138	6.704	6.898	6.354
GLI1	5.611	4.461	4.745	4.685	4.856	5.886	5.118	4.682	6.110	3.911	3.313	5.803
GLS	9.503	8.912	8.936	9.157	8.974	10.090	8.767	7.826	8.716	9.162	8.146	8.960
GLUD1	11.929	11.584	11.351	12.644	12.283	11.859	11.597	12.110	12.547	12.092	11.036	11.946
GLUL	15.325	15.022	14.691	12.327	15.048	15.198	14.208	13.933	14.616	14.086	13.998	14.636
GMIP	6.242	5.980	6.120	6.598	5.397	7.970	6.570	5.517	5.750	5.662	6.283	5.485
GNG4	6.564	7.154	6.530	8.148	7.682	5.827	6.309	7.490	6.243	7.658	8.551	7.885
GNLY	5.181	5.980	4.848	4.778	5.719	7.196	5.434	7.214	4.695	4.619	6.794	4.662
GOT1	9.635	8.652	9.091	8.523	9.815	8.886	9.587	9.138	9.349	10.568	9.311	10.401
GOT2	9.588	9.431	9.241	9.689	9.909	9.564	9.753	9.965	9.566	10.167	9.584	10.073
GPC4	7.924	8.335	7.498	7.860	7.967	8.231	8.503	7.711	9.160	8.520	9.048	8.132
GPR160	7.301	5.946	6.099	6.270	5.719	7.781	7.138	6.989	6.124	6.438	6.947	6.296
GPSM3	9.100	8.335	8.912	8.443	7.806	10.461	8.991	8.261	8.429	9.103	8.099	7.981
GZMA	5.787	4.461	5.450	4.533	2.982	8.100	5.171	4.517	3.497	4.252	4.483	3.836
GZMB	2.979	2.876	2.312	2.585	3.397	5.942	3.712	2.795	2.580	2.326	3.187	2.184
GZMH	4.905	3.554	4.575	2.778	3.982	6.286	4.519	2.643	3.317	2.174	2.898	3.962
GZMK	5.745	5.254	6.400	5.204	3.982	10.115	5.960	4.721	4.497	4.430	4.187	4.836
GZMM	5.702	5.254	5.383	4.422	5.304	7.564	5.090	5.117	4.658	2.911	3.635	4.869
H2AFX	7.837	8.455	8.253	8.414	8.719	7.827	8.450	9.334	7.604	7.574	9.097	8.529
HAVCR2	9.685	8.361	8.948	8.492	7.997	10.283	9.667	9.282	8.277	8.985	8.688	8.648
HCK	9.852	9.022	9.193	8.868	8.125	10.960	9.524	8.509	8.440	8.383	9.061	7.973
HDAC11	9.674	8.844	9.083	7.485	8.763	8.970	9.259	9.437	7.906	8.199	7.971	8.918
HDAC3	8.862	9.180	9.264	9.466	9.274	9.292	9.195	9.224	9.833	9.227	9.458	9.091
HDAC4	8.399	8.783	8.335	8.569	9.230	8.112	8.275	8.668	9.139	8.508	8.499	8.977
HDAC5	9.358	9.198	9.038	9.725	9.425	9.376	9.059	9.126	8.595	9.066	8.857	8.732
HDC	6.540	4.554	5.035	4.585	5.567	6.914	4.297	3.865	4.497	3.396	4.586	5.105
HELLS	6.540	7.449	7.979	8.808	8.055	7.651	7.829	8.374	7.772	7.409	9.368	7.296
HERC6	8.564	7.374	7.725	8.464	8.125	10.523	8.958	7.145	10.103	7.585	6.750	8.366
HES1	9.452	10.237	9.315	9.061	9.511	9.286	9.700	7.899	10.908	8.164	10.129	10.073
HEY1	8.439	11.390	11.068	12.562	11.314	8.412	10.017	11.448	9.871	11.168	8.888	11.229
HIF1A	12.011	11.560	12.049	11.707	11.983	11.124	11.931	12.168	11.577	11.553	11.337	11.918
HK1	10.339	10.417	10.075	10.382	9.993	10.361	9.661	9.538	10.337	11.059	10.603	10.165
HK2	9.707	10.863	9.770	7.902	7.484	8.804	8.128	7.490	7.286	8.428	8.807	8.690
HLA-A	12.550	13.140	13.991	11.952	13.624	13.425	13.115	11.216	9.727	13.768	13.490	12.035
HLA-B	14.719	13.446	14.582	12.907	13.662	16.293	14.693	12.860	14.869	14.271	14.175	13.592
HLA-C	12.578	11.984	12.765	11.766	12.197	14.411	13.727	11.045	13.614	12.740	12.532	11.691
HLA-DMA	11.243	10.192	10.946	10.378	9.286	13.385	11.244	10.265	10.316	10.617	10.885	10.276
